Date,Open,High,Low,Close,Adj Close,Volume
2020-10-05,58.169998,58.630001,58.169998,58.630001,58.630001,39700
2020-10-06,58.680000,58.889999,58.060001,58.139999,58.139999,35900
2020-10-07,58.509998,58.849998,58.509998,58.740002,58.740002,27600
2020-10-08,59.020000,59.189999,58.970001,59.130001,59.130001,37200
2020-10-09,59.360001,59.599998,59.320000,59.580002,59.580002,46000
2020-10-12,59.840000,60.240002,59.740002,60.139999,60.139999,127200
2020-10-13,59.980000,59.980000,59.650002,59.759998,59.759998,36200
2020-10-14,59.919998,60.000000,59.470001,59.540001,59.540001,32100
2020-10-15,58.660000,59.349998,58.660000,59.230000,59.230000,37900
2020-10-16,59.470001,59.660000,59.340000,59.349998,59.349998,26800
2020-10-19,59.450001,59.610001,58.759998,58.820000,58.820000,31600
2020-10-20,59.119999,59.450001,59.020000,59.049999,59.049999,54400
2020-10-21,59.080002,59.349998,58.950001,58.950001,58.950001,27100
2020-10-22,59.000000,59.200001,58.669998,59.150002,59.150002,45400
2020-10-23,59.310001,59.369999,59.090000,59.369999,59.369999,24900
2020-10-26,58.830002,58.990002,58.070000,58.450001,58.450001,47600
2020-10-27,58.480000,58.529999,58.250000,58.259998,58.259998,29800
2020-10-28,57.680000,57.680000,56.750000,56.810001,56.810001,162900
2020-10-29,56.830002,57.450001,56.610001,57.189999,57.189999,63800
2020-10-30,56.840000,56.970001,56.389999,56.730000,56.730000,46700
2020-11-02,57.180000,57.380001,56.889999,57.240002,57.240002,41600
2020-11-03,57.900002,58.340000,57.810001,58.070000,58.070000,59900
2020-11-04,58.520000,59.500000,58.520000,59.060001,59.060001,47000
2020-11-05,59.790001,60.209999,59.790001,60.099998,60.099998,71700
2020-11-06,60.049999,60.240002,59.849998,60.130001,60.130001,27000
